bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl,source_batch
7.8323,12,2.187,1.0,63.0547,8.83,3.1016,0.0485,1,0.0038,0.66,25.9628,SENCO,2025-07-17,0,-10.658,Batch 3
9.042,6,16.272,0.6765,60.2145,16.9799,4.4399,0.0351,0,-0.0669,1.0114,1.1477,SENCO,2026-04-06,0,-2.0582,Batch 3
6.3353,13,9.0823,0.4349,59.1999,16.3625,2.999,-0.0064,1,0.0294,1.2227,23.8522,SUNSHIEL,2025-10-30,0,-8.9755,Batch 3
12.8442,9,4.589,0.8,69.9208,10.1176,5.2483,0.2165,0,-0.0305,1.0,0.0,VIDYAWIRES,2026-04-09,1,51.5172,Batch 3
10.5694,5,6.0422,0.8486,68.773,9.4575,4.7108,0.0,0,-0.0163,1.0,0.0,VIJAYA,2025-01-07,0,-12.7505,Batch 3
4.7255,18,1.7688,0.8776,61.3671,8.0184,2.5463,0.0229,1,0.0358,0.8857,-7.4038,VIJAYA,2025-06-26,0,-1.2456,Batch 3
11.4917,39,4.7709,0.8045,69.5245,8.4925,3.8003,0.1604,0,-0.0148,1.0915,6.923,VIJAYA,2025-07-28,0,-12.5181,Batch 3
5.9841,78,13.6796,0.7037,66.2629,20.3563,3.0661,0.0687,1,0.0164,1.0585,-3.4763,VIJAYA,2025-12-04,0,-9.8178,Batch 3
11.6824,11,2.1269,0.8026,68.9148,10.792,4.6721,0.0,1,0.0064,1.0,0.0,ASIANENE,2020-02-12,0,-12.1941,Batch 4
7.7876,7,3.8824,0.8846,58.347,12.8628,4.4701,0.043,0,-0.0102,0.7728,11.427,ASIANENE,2021-04-27,1,43.2292,Batch 4
7.7081,11,6.8503,0.8093,69.0638,19.1444,4.0495,0.12,1,0.0555,0.9875,13.9314,ASIANENE,2021-06-04,0,13.4698,Batch 4
12.7336,3,6.1487,0.7759,63.1643,22.4699,4.638,0.0094,0,-0.0279,0.8167,-31.2846,ASIANENE,2022-06-08,0,-18.3553,Batch 4
13.4389,0,4.478,0.7696,63.8189,13.7643,5.0541,0.0966,1,0.0075,1.3057,13.3806,ASIANENE,2024-12-11,0,-8.7038,Batch 4
5.3735,26,3.3018,0.473,57.6217,9.7648,2.485,0.0018,1,0.0038,0.7816,17.1302,ASIANENE,2025-07-17,0,13.2531,Batch 4
6.3425,33,13.1662,0.26,58.4725,17.8867,3.5662,0.0219,0,-0.0148,0.8598,41.129,ASIANENE,2025-07-28,0,8.8292,Batch 4
10.4123,5,3.7888,0.7278,66.9572,9.0283,5.2328,0.1897,0,-0.0106,1.3638,30.4645,ASIANENE,2025-09-03,0,-16.4704,Batch 4
8.0668,13,1.5669,0.8673,63.9709,17.1897,4.5241,0.0595,0,-0.0243,1.0903,-8.191,AVL,2023-03-01,0,-7.7039,Batch 4
6.6388,14,2.2848,0.905,69.3906,11.8328,4.6217,0.1142,1,0.0044,1.0608,18.7653,AVL,2023-04-06,0,-12.8991,Batch 4
9.1212,16,2.3059,0.6453,63.6588,20.304,4.454,0.1111,1,0.0145,1.5921,65.5395,AVL,2024-01-25,0,-14.3407,Batch 4
9.8601,14,5.5243,0.4029,61.0582,10.801,5.0249,0.0749,0,-0.0189,1.7671,16.2101,DEEPINDS,2021-12-30,0,10.1529,Batch 4
7.2366,10,3.148,0.8101,57.9986,13.2167,4.2823,0.0029,1,0.0345,1.1612,17.1831,DEEPINDS,2022-07-21,0,-12.4994,Batch 4
6.52,12,3.9449,0.5625,58.8613,9.0221,3.6817,0.0063,0,-0.0082,1.0874,11.5515,DEEPINDS,2023-04-03,1,29.9536,Batch 4
9.2589,5,8.5013,0.7744,65.0351,20.7059,4.538,0.1581,1,0.0329,1.3382,23.3635,DEEPINDS,2023-05-24,1,57.974,Batch 4
